,id,current_version,folder_id,title,content_length,create_by,create_on
4262,9163182,0,3102190.0,2023-07 Meeting 6 DR TT Meeting Note.docx,336406,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-07-17T07:12:00
6871,9371034,0,3181336.0,Data Analysis Activity Plans.docx,6942,d26b9008-d303-4d89-bb3e-01d4f5a9c58e,2023-11-07T16:19:45
4532,9192038,0,3141344.0,Panel-in-person_NYC-Sep23_Travel-details.xlsx,11799,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-01T14:46:38
4281,9163818,0,3105496.0,23-07-24_DC-TT_meetingnote.docx,337807,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-07-17T11:00:20
4283,9163818,0,3105496.0,23-07-24_DC-TT_meetingnote.docx,345843,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-07-17T11:00:20
4301,9164668,0,3158817.0,2023-07 Meeting 6_Benchmarking TT.docx,341408,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-07-17T15:16:06
4300,9164668,0,3158817.0,2023-07 Meeting 6_Benchmarking TT.docx,341142,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-07-17T15:16:06
4299,9164668,0,3158817.0,2023-07 Meeting 6_Benchmarking TT.docx,338386,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-07-17T15:16:06
7582,9472177,0,3104131.0,24-01-09_Co-chairs-IPO.docx,177025,2e757bcd-427a-4abb-8cbc-d829904cc400,2024-01-05T08:22:57
7583,9472177,0,3104131.0,24-01-09_Co-chairs-IPO.docx,176940,2e757bcd-427a-4abb-8cbc-d829904cc400,2024-01-05T08:22:57
4296,9164601,0,3105613.0,G1 Form template.docx,343114,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-07-17T14:55:27
4295,9164601,0,3105613.0,G1 Form template.docx,371864,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-07-17T14:55:27
6883,9371034,0,3181336.0,Data Analysis Activity Plans.docx,34893,d26b9008-d303-4d89-bb3e-01d4f5a9c58e,2023-11-07T16:19:45
4282,9163818,0,3105496.0,23-07-24_DC-TT_meetingnote.docx,337807,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-07-17T11:00:20
6882,9371034,0,3181336.0,Data Analysis Activity Plans.docx,34866,d26b9008-d303-4d89-bb3e-01d4f5a9c58e,2023-11-07T16:19:45
4291,9164238,0,3102190.0,Thematic Meetings.pptx,42822,036c3002-4810-4da6-966f-a0f6c32efc95,2023-07-17T13:12:40
4290,9164238,0,3102190.0,Thematic Meetings.pptx,32735,036c3002-4810-4da6-966f-a0f6c32efc95,2023-07-17T13:12:40
6880,9371034,0,3181336.0,Data Analysis Activity Plans.docx,34845,d26b9008-d303-4d89-bb3e-01d4f5a9c58e,2023-11-07T16:19:45
6879,9371034,0,3181336.0,Data Analysis Activity Plans.docx,34764,d26b9008-d303-4d89-bb3e-01d4f5a9c58e,2023-11-07T16:19:45
6878,9371034,0,3181336.0,Data Analysis Activity Plans.docx,34696,d26b9008-d303-4d89-bb3e-01d4f5a9c58e,2023-11-07T16:19:45
6877,9371034,0,3181336.0,Data Analysis Activity Plans.docx,34688,d26b9008-d303-4d89-bb3e-01d4f5a9c58e,2023-11-07T16:19:45
6876,9371034,0,3181336.0,Data Analysis Activity Plans.docx,34612,d26b9008-d303-4d89-bb3e-01d4f5a9c58e,2023-11-07T16:19:45
6875,9371034,0,3181336.0,Data Analysis Activity Plans.docx,34148,d26b9008-d303-4d89-bb3e-01d4f5a9c58e,2023-11-07T16:19:45
6881,9371034,0,3181336.0,Data Analysis Activity Plans.docx,34864,d26b9008-d303-4d89-bb3e-01d4f5a9c58e,2023-11-07T16:19:45
4533,9192038,0,3141344.0,Panel-in-person_NYC-Sep23_Travel-details.xlsx,11816,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-01T14:46:38
4534,9192038,0,3141344.0,Panel-in-person_NYC-Sep23_Travel-details.xlsx,11755,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-01T14:46:38
4535,9192038,0,3141344.0,Panel-in-person_NYC-Sep23_Travel-details.xlsx,11799,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-01T14:46:38
4772,9223275,0,3116054.0,CVs paper draft_G2_1.5spaced.docx,507989,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:29:28
4771,9223275,0,3116054.0,CVs paper draft_G2_1.5spaced.docx,507746,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:29:28
